EventRegType,RegcodeEvtcode,Description,Barcodecolor,BadgeExplosion,BadgeTextColor,EarlyBirdStartDate,EarlyBirdEndDate,EarlyBirdRate,AdvanceStartDate,AdvanceEndDate,AdvanceRate,OnsiteStartDate,OnsiteEndDate,OnsiteRate,custom_pckg_name,custom_pckg_description,custom_pckg_cost,nonMember
BDX,BDX,Board (24 HR),#006ac6,AZULE,Board (24 HR),2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
BLC,BLC,Blocked Registration,#006ac6,AZULE,Blocked Registration,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
BNR,BNR,Banned Registration,#8f288d,VIOLET,Banned Registration,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
CAN,CAN,Cancelled Attendee,#8f288d,VIOLET,Cancelled Attendee,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
EPC,EPC,Exhibitor Primary Contact,#b9d9eb,POWDERBLUE,Exhibitor Primary Contact,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
MEM,MEM,Conference Registration - NBAA Member,#b9d9eb,POWDERBLUE,Conference Registration - NBAA Member,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,1685,2023-02-26,2023-02-28,1685,Full Conference- Member NBAA-BACE Only,"Registration includes all continental breakfasts, lunches and breaks; all education sessions; and networking events.",1685,None
NCA,NCA,Comp Attendee,#688197,SLATE,Comp Attendee,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
NM,NM,Conference Registration - Non-Member,#688197,SLATE,Conference Registration - Non-Member,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,1735,2023-02-26,2023-02-28,1985,Full Conference-Non-Member NBAA-BACE Only,"Registration includes all continental breakfasts, lunches and breaks; all education sessions; and networking events.",1985,None
PDP,PDP,PDP Only Reg,#ce0f69,GRANBERRY,PDP Only Reg,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 11,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
PRS,PRS,Press,#ce0f69,GRANBERRY,Press,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
PRX,PRX,Press Reg (24 HR),#c6bcd0,LAVENDAR,Press Reg (24 HR),2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
SPK,SPK,Speaker,#c6bcd0,LAVENDAR,Speaker,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
SPX,SPX,Service Provider (24 HR),#00b0b9,TURQUOISE,Service Provider (24 HR),2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
STF,STF,Staff (24 HR),#00b0b9,TURQUOISE,Staff (24 HR),2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
STU,STU,Student,#f2a900,GOLD,Student,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None
SVP,SVP,Service Provider,#f2a900,GOLD,Service Provider,2022-01-01,2022-08-31,0,2022-09-02,2023-02-25,0,2023-02-26,2023-02-28,0,Custom Package 7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex",0,None